Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000131584	261	244	368	1018	817	526	609	1405	897	392	644	409
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169972	23	89	113	173	81	73	73	193	180	71	134	82
ENSG00000127054	281	411	357	1240	839	690	1139	2618	1729	358	632	536
ENSG00000283712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240731	11	11	13	24	19	29	23	71	56	18	18	21
ENSG00000224051	76	122	196	555	355	219	135	466	454	138	344	202
ENSG00000169962	13	37	88	60	41	22	9	21	24	24	15	50
ENSG00000107404	106	219	259	709	490	354	824	1996	1701	168	378	254
ENSG00000284372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162576	385	88	408	1195	1185	1175	1009	1774	3789	201	1881	325
ENSG00000175756	136	207	296	858	721	534	485	664	492	279	457	279
ENSG00000223663	2	0	0	0	0	0	4	0	0	0	0	0
ENSG00000221978	860	1497	1166	1844	2091	1381	1307	4492	2511	633	763	504
ENSG00000224870	48	94	54	159	169	130	72	159	160	57	98	78
ENSG00000242485	178	340	354	1186	707	604	552	784	634	275	449	336
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272455	8	32	6	130	36	35	28	19	20	29	71	30
ENSG00000235098	18	15	24	127	20	34	97	87	116	37	92	62
ENSG00000225905	0	0	1	8	0	1	3	2	3	3	2	1
ENSG00000205116	0	1	0	10	5	2	0	1	0	6	4	8
ENSG00000225285	3	9	11	69	6	5	16	21	14	10	26	4
ENSG00000179403	204	635	625	2352	407	358	915	1318	968	382	2008	1412
ENSG00000215915	19	87	12	250	109	60	142	129	174	71	27	243
ENSG00000160072	110	361	128	558	224	170	276	889	772	226	300	346
ENSG00000284740	1	0	0	11	7	8	9	8	9	3	4	0
ENSG00000197785	62	169	142	507	203	177	264	480	435	183	264	197
ENSG00000205090	0	3	2	4	7	10	7	21	38	12	17	8
ENSG00000160075	473	826	534	2424	1142	958	1107	2098	2400	770	976	759
ENSG00000215014	6	6	9	20	15	9	13	6	11	16	16	10
ENSG00000274481	1	0	0	3	2	5	0	0	0	8	0	2
ENSG00000228594	17	20	50	47	125	51	40	122	77	42	22	42
ENSG00000286989	3	1	1	7	22	12	2	14	7	6	4	5
ENSG00000272106	33	27	23	48	93	40	49	80	89	33	71	23
ENSG00000197530	106	163	106	566	403	325	496	1199	1061	192	341	164
ENSG00000189409	0	1	2	3	1	2	3	17	18	0	4	1
ENSG00000248333	28	62	42	88	96	98	249	503	713	64	65	38
ENSG00000272004	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000189339	196	362	301	409	659	378	287	1103	461	167	269	223
ENSG00000269737	61	32	22	14	37	46	12	42	13	16	9	14
ENSG00000215914	0	0	0	4	0	0	1	13	12	2	0	2
ENSG00000008128	11	14	14	12	25	15	31	94	90	6	12	2
ENSG00000268575	33	29	28	63	70	83	7	25	31	31	22	33
ENSG00000227775	4	8	5	6	16	15	1	3	6	8	4	1
ENSG00000215790	138	104	94	89	214	160	79	81	248	65	65	41
ENSG00000008130	308	356	471	1642	647	511	417	1250	1010	559	626	394
ENSG00000078369	2547	2692	3019	9733	6926	5041	4087	8703	10316	2525	4663	3921
ENSG00000231050	3	0	1	4	11	10	3	1	3	5	3	4
ENSG00000169885	1	8	1	21	11	8	6	22	5	6	7	3
ENSG00000178821	2	5	3	70	17	5	10	22	10	19	7	13
ENSG00000142609	1	5	23	18	26	24	4	4	5	44	26	28
ENSG00000233542	1	0	0	10	3	10	0	1	2	3	10	19
ENSG00000187730	3	9	14	26	36	20	3	15	13	10	22	19
ENSG00000226969	0	0	0	0	1	2	0	0	0	2	0	3
ENSG00000067606	65	93	72	315	222	156	215	333	363	122	165	176
ENSG00000271806	8	9	0	10	10	6	6	5	7	18	11	7
ENSG00000182873	14	21	3	17	19	19	25	88	89	5	9	10
ENSG00000162585	91	109	77	401	237	178	332	475	440	88	150	134
ENSG00000234396	0	0	0	1	1	1	0	0	1	1	0	2
ENSG00000157933	549	834	441	512	529	474	846	2946	5740	477	651	380
ENSG00000287356	4	5	2	28	22	41	27	42	43	14	12	10
ENSG00000116151	51	63	91	233	193	170	143	205	181	70	73	63
ENSG00000272161	1	0	0	5	6	2	1	3	0	3	4	0
ENSG00000269896	4	11	5	21	22	16	31	48	58	15	4	10
ENSG00000272420	2	2	2	2	3	3	0	1	2	3	1	6
ENSG00000157916	496	742	709	2677	996	851	625	1097	979	485	837	683
ENSG00000157911	48	119	96	401	238	165	155	217	157	64	145	98
ENSG00000149527	68	13	96	107	31	36	125	276	300	41	57	44
ENSG00000224387	2	0	0	0	1	2	1	1	0	1	2	2
ENSG00000229393	3	1	2	2	0	2	0	1	3	2	0	0
ENSG00000157881	108	122	163	450	286	243	108	481	305	128	176	153
ENSG00000197921	0	0	1	8	1	3	22	12	11	2	4	1
ENSG00000272449	4	4	1	35	41	33	13	16	6	5	8	10
ENSG00000238164	25	13	31	71	35	19	36	85	76	24	26	16
ENSG00000157873	232	173	317	642	245	309	709	1406	729	268	208	253
ENSG00000225931	1	0	1	7	0	7	2	8	9	8	4	5
ENSG00000228037	1	4	7	10	4	10	3	11	18	3	3	2
ENSG00000157870	91	232	220	1342	613	428	303	359	291	154	127	448
ENSG00000142606	4	2	13	30	25	21	11	19	22	7	5	26
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215912	12	10	16	12	44	27	8	5	20	34	14	16
ENSG00000285945	0	1	0	0	0	1	0	1	1	1	1	0
ENSG00000283259	0	0	1	1	2	4	0	0	0	4	5	2
ENSG00000233234	1	0	0	1	0	1	0	0	0	2	0	1
ENSG00000287396	0	0	0	1	2	1	0	0	0	3	0	1
ENSG00000231630	0	0	0	0	0	1	0	0	0	2	0	0
ENSG00000284745	0	0	1	3	7	4	0	0	0	7	4	9
ENSG00000169717	0	0	0	4	5	2	0	0	0	9	6	4
ENSG00000177133	1	0	4	8	6	10	1	39	15	11	5	8
ENSG00000142611	14	3	54	17	33	38	9	103	49	27	9	20
ENSG00000283572	0	0	0	1	1	1	0	0	0	1	0	0
ENSG00000226286	1	0	1	1	1	1	1	0	0	1	0	1
ENSG00000279839	1	0	2	3	1	12	0	1	1	11	4	2
ENSG00000272235	7	0	7	5	7	13	4	6	4	14	6	4
ENSG00000287828	1	0	3	5	4	3	6	7	2	4	3	0
ENSG00000286518	2	0	2	8	7	5	0	0	0	13	16	10
ENSG00000130762	99	69	164	480	244	153	258	437	210	117	143	112
ENSG00000272088	2	5	5	5	0	3	4	1	4	6	2	4
ENSG00000162591	329	252	200	347	375	343	359	531	726	133	387	87
ENSG00000207776	0	0	0	0	0	1	0	0	0	0	1	0
ENSG00000238260	4	1	1	2	7	7	0	0	0	2	2	0
ENSG00000158109	267	426	261	1646	723	627	418	656	945	392	884	556
ENSG00000116213	140	178	152	417	260	179	180	237	233	141	152	109
ENSG00000078900	18	20	20	65	43	32	9	18	9	21	19	19
ENSG00000227589	2	0	0	2	3	8	0	0	0	9	1	7
ENSG00000235131	1	1	0	2	2	5	0	0	0	3	1	1
ENSG00000227372	175	272	146	444	317	202	348	808	1030	183	194	183
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000162592	1	1	0	9	13	19	0	3	0	33	7	20
ENSG00000235169	5	4	6	66	13	12	20	15	23	6	10	10
ENSG00000130764	237	533	285	944	639	463	319	637	697	430	439	413
ENSG00000266075	0	0	2	3	0	3	0	0	6	3	5	0
ENSG00000272153	5	9	4	20	14	15	6	9	15	13	11	5
ENSG00000116198	384	645	491	1250	696	682	324	756	1068	459	586	458
ENSG00000169598	49	105	46	128	49	66	20	63	66	63	52	65
ENSG00000198912	160	261	155	506	184	209	172	461	305	243	250	286
ENSG00000236423	6	12	6	30	23	18	1	4	5	32	12	16
ENSG00000233304	0	0	0	5	10	19	0	0	0	31	14	13
ENSG00000226374	0	0	0	5	1	5	0	0	0	11	2	8
ENSG00000284668	0	6	0	3	3	4	0	0	0	8	3	2
ENSG00000284703	1	1	0	8	9	11	0	0	0	6	5	11
ENSG00000229280	0	0	0	1	0	0	0	0	0	1	0	3
ENSG00000235054	0	4	0	6	10	7	1	0	0	18	5	3
ENSG00000284694	0	0	2	4	5	8	0	0	0	19	11	10
ENSG00000227169	0	0	0	3	3	1	0	0	0	1	5	0
ENSG00000232596	0	1	0	4	6	3	1	0	0	12	4	6
ENSG00000196581	7	18	13	39	19	29	15	127	308	42	26	28
ENSG00000287586	4	2	0	3	7	4	1	0	1	4	1	5
ENSG00000284739	0	0	0	0	2	0	0	0	0	3	0	1
ENSG00000284674	0	0	0	6	6	3	0	0	0	9	7	8
