Foundation	Replicate	AgeFirstReproduction	FemaleStarvationResistance	EarlyFecundity	PeakFecundity	Size	Generation
TA	TA3	2	48	126	144	1.216936983	6
TA	TA3	3	36	117	111	1.212789816	6
TA	TA3	3	36	127	168	1.205905738	6
TA	TA3	3	48	188	203	1.224319752	6
TA	TA3	3	42	119	81	1.248049795	6
TA	TA3	2	42	143	98	1.130848366	6
TA	TA3	3	42	124	194	MV	6
TA	TA3	3	48	135	139	1.218716942	6
TA	TA3	2	30	159	112	1.219812859	6
TA	TA3	3	36	130	161	1.236156422	6
TA	TA3	3	30	120	148	1.211705855	6
TA	TA3	3	36	183	143	1.212148943	6
TA	TA3	5	MV	2	MV	MV	6
TA	TA3	4	42	135	127	1.169424774	6
TA	TA3	3	48	151	149	1.193699682	6
TA	TA3	4	30	38	19	1.211707746	6
TA	TA3	4	36	52	62	1.213877635	6
TA	TA3	4	24	148	90	1.227980679	6
TA	TA3	3	36	144	90	1.187507128	6
TA	TA3	3	36	135	124	1.206358783	6
TA	TA3	3	36	118	94	1.226434777	6
TA	TA3	3	30	109	113	1.2014687	6
TA	TA3	3	42	124	123	1.047377427	6
TA	TA3	3	42	117	172	1.212344401	11
TA	TA3	3	30	117	137	1.187229653	11
TA	TA3	3	42	118	148	1.155198156	11
TA	TA3	3	48	115	145	1.204247243	11
TA	TA3	3	42	142	152	1.172323435	11
TA	TA3	4	48	116	172	1.169051041	11
TA	TA3	3	36	148	186	1.252023785	11
TA	TA3	4	42	25	150	1.193352223	11
TA	TA3	3	42	117	176	1.202893932	11
TA	TA3	3	42	128	162	1.13340048	11
TA	TA3	3	42	87	150	1.164803867	11
TA	TA3	4	36	145	164	1.192616814	11
TA	TA3	3	42	98	134	1.203593322	11
TA	TA3	3	48	74	133	1.174471206	11
TA	TA3	3	36	126	95	1.19619324	11
TA	TA3	3	36	110	143	1.234184606	11
TA	TA3	3	MV	102	MV	MV	11
TA	TA3	4	MV	72	MV	MV	11
TA	TA3	4	24	35	72	1.102290908	14
TA	TA3	5	30	16	66	1.175072075	14
TA	TA3	3	42	87	131	1.17983868	14
TA	TA3	4	48	63	164	1.180469793	14
TA	TA3	3	42	97	196	1.183939355	14
TA	TA3	4	36	26	150	1.193316597	14
TA	TA3	3	42	115	176	1.19739509	14
TA	TA3	4	24	94	108	1.201901382	14
TA	TA3	3	42	129	158	1.20498379	14
TA	TA3	3	30	110	176	1.208006823	14
TA	TA3	3	36	131	156	1.210309258	14
TA	TA3	3	36	163	204	1.219923017	14
TA	TA3	4	36	83	170	1.222979512	14
TA	TA3	3	36	121	196	1.230238187	14
TA	TA3	3	18	12	23	1.19340144	14
TA	TA3	3	36	109	174	1.228484663	14
TA	TA3	3	24	128	101	1.223945282	14
TA	TA3	4	36	95	156	MV	14
TA	TA3	4	36	41	93	1.200247328	18
TA	TA3	3	30	108	157	1.21975815	18
TA	TA3	6	48	58	168	1.223396828	18
TA	TA3	4	42	9	9	1.21529977	18
TA	TA3	4	18	9	1	1.237861146	18
TA	TA3	3	36	81	44	1.247514861	18
TA	TA3	3	42	88	139	1.232602042	18
TA	TA3	4	42	51	159	1.224590939	18
TA	TA3	4	48	84	154	1.226632922	18
TA	TA3	3	42	87	168	1.203747342	18
TA	TA3	5	30	18	58	1.232081304	18
TA	TA3	4	42	96	92	1.178346294	18
TA	TA3	3	48	110	155	1.219963324	18
TA	TA3	3	24	123	58	1.204898616	18
TA	TA3	3	MV	MV	MV	MV	18
TA	TA3	4	MV	62	MV	MV	18
TA	TA3	MV	MV	MV	MV	MV	18
TA	TA3	4	42	95	167	MV	18
TA	TA3	4	42	71	126	1.164939203	22
TA	TA3	3	36	134	164	1.155619527	22
TA	TA3	4	42	81	152	1.224109769	22
TA	TA3	4	36	41	126	1.162650722	22
TA	TA3	3	36	95	165	1.230920825	22
TA	TA3	3	42	87	154	1.177188562	22
TA	TA3	4	42	49	134	1.126988447	22
TA	TA3	6	42	21	189	1.187620815	22
TA	TA3	7	42	0	188	1.174569926	22
TA	TA3	4	36	50	57	1.221597477	22
TA	TA3	3	42	102	171	1.188717423	22
TA	TA3	4	30	66	151	1.165457112	22
TA	TA3	4	30	76	142	1.138575415	22
TA	TA3	3	42	44	74	1.211912038	22
TA	TA3	4	42	87	193	1.2212536	22
TA	TA3	4	30	93	163	1.196444772	22
TA	TA3	3	42	119	206	1.183895739	22
TA	TA3	4	18	26	7	1.175836163	22
TA	TA3	4	42	80	154	1.185502969	22
TA	TA3	12	30	0	0	1.213598725	22
TA	TA3	3	30	65	149	1.165290732	22
TA	TA3	6	42	5	112	1.180022285	22
TA	TA3	4	42	75	151	1.16019906	22
TA	TA3	3	30	62	79	MV	22
