before after salt
       61         61          0
       48         77          1
       54         80          0
       52         79          0
       59         66          0
       52         77          0
       52         61          0
       78        103          0
       53         77          0
       54         68          0
       57         60          1
       71         61          1
       55         64          1
       69         69          1
       49         51          1
       49         50          1
       59         72          1
       52         47          1
       53         69          1
       53         72          1
       58         67          1
       51         57          1
       53         75          1
       68         65          1
       65         59          1
       57         69          1
