	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000158528	0.2898446700599828	0.9551264060805102	0.524	0.1586
ENSG00000158553	0.4501954625236996	1.0	0.6601	0.2399
ENSG00000158578	0.009918005039532107	0.38587442284720813	0.0404	0.0321
ENSG00000158615	0.744533398521559	1.0	0.5329	0.707
ENSG00000158636	0.12495694519799938	0.754376745442491	0.2161	0.1255
ENSG00000158683	0.1862374050128346	0.8526164252264294	0.0978	0.4657
ENSG00000158715	0.9639693689998688	1.0	0.9934	0.7488
ENSG00000158792	0.9082780042125331	1.0	0.8064	0.7484
ENSG00000158805	0.9818004421771572	1.0	0.9934	0.8208
ENSG00000158816	0.8277618829853247	1.0	0.581	0.8156
ENSG00000158859	0.2611541808477511	0.9253539210877272	0.1997	0.36
ENSG00000158864	0.6695394151546148	1.0	0.4578	0.6706
ENSG00000158865	0.05643298988594547	0.6101132768974352	0.1603	0.0629
ENSG00000159082	0.08062376733484045	0.6681468110436523	0.1883	0.083
ENSG00000159086	0.21428949812431775	0.8792681678395443	0.1838	0.2988
ENSG00000159131	0.4140613865709415	1.0	0.3537	0.3941
ENSG00000159140	0.07740426825541535	0.6602554115494673	0.5463	0.0272
ENSG00000159147	0.5705976955606782	1.0	0.5602	0.4137
ENSG00000159164	0.5740378010740946	1.0	0.4491	0.5213
ENSG00000159167	0.6581515807186173	1.0	0.471	0.6316
ENSG00000159208	0.628688072621854	1.0	0.5066	0.5408
ENSG00000159212	0.9999781719252483	1.0	0.9934	1.0
ENSG00000159216	0.9755722794507069	1.0	0.9934	0.7925
ENSG00000159267	0.5237824753422423	1.0	0.5088	0.3954
ENSG00000159289	0.5926123825502395	1.0	0.4952	0.4991
ENSG00000159307	0.009308169849082004	0.38587442284720813	0.0176	0.0685
ENSG00000159337	0.7796518163560375	1.0	0.5679	0.7301
ENSG00000159339	0.9999987193167866	1.0	0.9984	1.0
ENSG00000159346	0.24591419533886083	0.9118033414555009	0.2787	0.2375
ENSG00000159363	0.9724784089400086	1.0	0.9934	0.7799
ENSG00000159387	0.9871632635819353	1.0	0.9658	0.874
ENSG00000159398	0.14169830599244504	0.7825320862465659	0.0759	0.4199
ENSG00000159399	0.8143874660268403	1.0	0.6384	0.7149
ENSG00000159433	0.68323979374481	1.0	0.5828	0.547
ENSG00000159450	0.3170631793183978	0.9864898833379804	0.5469	0.1725
ENSG00000159455	0.030649797382406918	0.5049163217310539	0.178	0.0272
ENSG00000159459	0.9893883910603203	1.0	0.8579	1.0
ENSG00000159527	0.689957196274614	1.0	0.6548	0.4959
ENSG00000159579	0.45390426060432987	1.0	0.2953	0.5431
ENSG00000159593	0.5968308176357193	1.0	0.4964	0.504
ENSG00000159625	0.3143943932127822	0.9842283404375781	0.1804	0.5167
ENSG00000159640	0.7691620123477465	1.0	0.6318	0.6377
ENSG00000159650	0.9985155009642394	1.0	0.991	0.9546
ENSG00000159658	0.9999781719252483	1.0	0.9934	1.0
ENSG00000159708	0.8529033336230202	1.0	0.829	0.6143
ENSG00000159753	0.7629906802029046	1.0	0.5565	0.7119
ENSG00000159784	0.21249450560664485	0.8792681678395443	0.3472	0.1564
ENSG00000159842	0.8261129854560568	1.0	0.6739	0.6999
ENSG00000159885	0.08065720068063664	0.6681468110436523	0.2486	0.0629
ENSG00000159915	0.420888938785683	1.0	0.5207	0.2744
ENSG00000159917	0.420888938785683	1.0	0.5207	0.2744
ENSG00000160007	0.9744690468035813	1.0	0.8722	0.8974
ENSG00000160072	0.7154035435171734	1.0	0.4717	0.7379
ENSG00000160111	0.9640285438559933	1.0	0.8307	0.8957
ENSG00000160145	0.11403309587103039	0.7332693811122697	0.058	0.4162
ENSG00000160161	0.3962464527091901	1.0	0.4029	0.3239
ENSG00000160179	0.42873744414159165	1.0	0.7189	0.2044
ENSG00000160218	0.9999781719252483	1.0	0.9934	1.0
ENSG00000160233	0.9992413035210354	1.0	0.9613	1.0
ENSG00000160255	0.689046444727222	1.0	0.7014	0.4618
ENSG00000160282	0.02075297431539158	0.46077811114607714	0.0297	0.1029
ENSG00000160285	0.9985050141804154	1.0	0.9956	0.95
ENSG00000160293	0.9300087662251513	1.0	0.763	0.8519
ENSG00000160294	0.5585728932616681	1.0	0.4237	0.5278
ENSG00000160299	0.5826140912796863	1.0	0.402	0.5972
ENSG00000160321	0.20112729802593876	0.8718467353755887	0.1265	0.3988
ENSG00000160323	0.4781847802050112	1.0	0.3757	0.463
ENSG00000160349	0.9950614076832545	1.0	0.9613	0.9386
ENSG00000160352	0.6820661511339633	1.0	0.4867	0.6529
ENSG00000160360	0.17191081694399024	0.8292387888887472	0.1627	0.2519
ENSG00000160401	0.4945237021722291	1.0	0.4189	0.4379
ENSG00000160460	0.21837287791771798	0.8835178790499995	0.288	0.1956
ENSG00000160469	0.3776337310737985	1.0	0.5983	0.2031
ENSG00000160505	0.4135746620026711	1.0	0.2479	0.5613
ENSG00000160551	0.07722746769945144	0.6602554115494673	0.2027	0.0731
ENSG00000160602	0.9805315538600162	1.0	0.8981	0.9011
ENSG00000160633	0.25845431005617314	0.9222945405129122	0.2749	0.2578
ENSG00000160691	0.9992413035210354	1.0	0.9613	1.0
ENSG00000160703	0.8041440789987975	1.0	0.8898	0.4985
ENSG00000160710	0.16408007177427353	0.8147031366833142	0.6788	0.0568
ENSG00000160753	0.16305886624583132	0.814221614109664	0.2598	0.1472
ENSG00000160767	0.23927350369404454	0.9041661038505351	0.3919	0.1627
ENSG00000160796	0.742660871787441	1.0	0.6754	0.555
ENSG00000160801	0.9999781719252483	1.0	0.9934	1.0
ENSG00000160856	0.7099534223081101	1.0	0.6289	0.5453
ENSG00000160868	0.21177333399696252	0.8792681678395443	0.3288	0.1644
ENSG00000160882	0.10397645138349543	0.7219491701383615	0.0641	0.3351
ENSG00000160883	0.8658162037891532	1.0	0.6597	0.8018
ENSG00000160886	0.9992413035210354	1.0	0.9613	1.0
ENSG00000160908	0.8575806787589677	1.0	0.6165	0.8374
ENSG00000160949	0.9497870294354452	1.0	0.7354	0.9523
ENSG00000160953	0.637757142259588	1.0	0.5622	0.4999
ENSG00000160959	0.8888324337808573	1.0	0.6797	0.8345
ENSG00000160999	0.9771315730128152	1.0	0.999	0.7947
ENSG00000161040	0.7926812005513953	1.0	0.8201	0.524
ENSG00000161202	0.41215285000610147	1.0	0.307	0.4509
ENSG00000161204	0.29698737004249864	0.9649062499430854	0.1263	0.6809
ENSG00000161270	0.10050980236342733	0.7155924372680714	0.1288	0.1598
ENSG00000161281	0.519358629807622	1.0	0.4669	0.425
ENSG00000161395	0.6736719353374931	1.0	0.7732	0.4016
ENSG00000161533	0.8851121241831647	1.0	0.7344	0.7635
ENSG00000161652	0.9230710337932926	1.0	0.7267	0.8729
ENSG00000161654	0.7176121425833473	1.0	0.4856	0.7211
ENSG00000161681	0.39948739397467903	1.0	0.2674	0.494
ENSG00000161791	0.8842602769831764	1.0	0.7217	0.7749
ENSG00000161800	0.9999781719252483	1.0	0.9934	1.0
ENSG00000161807	0.4438512667039669	1.0	0.8961	0.1729
ENSG00000161813	0.4149442779727902	1.0	0.4924	0.284
ENSG00000161847	0.9999593779502797	1.0	0.991	1.0
ENSG00000161849	0.9992413035210354	1.0	0.9613	1.0
ENSG00000161850	0.9992413035210354	1.0	0.9613	1.0
ENSG00000161896	0.11708159551886776	0.7414361369118382	0.1989	0.1255
ENSG00000161960	0.08310242368490528	0.6821822423309808	0.2369	0.0685
ENSG00000161996	0.5701241808802966	1.0	0.6841	0.3383
ENSG00000162006	0.49908021925355706	1.0	0.7308	0.2547
ENSG00000162009	0.13500624657090232	0.7662854550737326	0.0899	0.3331
ENSG00000162032	0.7463983841258753	1.0	0.7086	0.5344
ENSG00000162063	0.6067688492302417	1.0	0.3526	0.7301
ENSG00000162068	0.9589056090008519	1.0	0.9934	0.7322
ENSG00000162104	0.8974486199910745	1.0	0.7282	0.8003
ENSG00000162105	0.7817555567829394	1.0	0.6559	0.6358
ENSG00000162129	0.4041514306035425	1.0	0.1974	0.6809
ENSG00000162231	0.07145133623663413	0.6510206679799162	0.2787	0.0483
ENSG00000162267	0.044029712908162155	0.5694137977363587	0.0423	0.1765
ENSG00000162298	0.23497012828896757	0.9026403910680975	0.2098	0.2965
ENSG00000162337	0.22999693256989628	0.8969029725966235	0.1056	0.5722
ENSG00000162341	0.405321490838386	1.0	0.3157	0.4276
ENSG00000162390	0.9667201411326984	1.0	0.991	0.7602
ENSG00000162391	0.9920751665865792	1.0	0.9934	0.8826
ENSG00000162396	0.6563578562188653	1.0	0.3146	0.9409
ENSG00000162402	0.804159206868163	1.0	0.7469	0.5939
ENSG00000162408	0.7627622750345007	1.0	0.8415	0.4705
ENSG00000162413	0.5521586982742732	1.0	0.3156	0.6951
ENSG00000162419	0.130167170156261	0.7586228552593779	0.4543	0.0629
ENSG00000162426	0.7196934895057941	1.0	0.85	0.4143
ENSG00000162460	0.7585327542494521	1.0	0.849	0.461
ENSG00000162482	0.4618033597520107	1.0	0.2107	0.7818
ENSG00000162510	0.7246518576745649	1.0	0.6904	0.517
ENSG00000162542	0.9965044637129549	1.0	0.9613	0.9545
ENSG00000162591	0.06243479009099617	0.6203002645993623	0.0647	0.1763
ENSG00000162594	0.7901843741081919	1.0	0.6268	0.6809
ENSG00000162600	0.7721976507503523	1.0	0.5046	0.8051
ENSG00000162614	0.21066327622396663	0.8792681678395443	0.3299	0.1627
ENSG00000162616	0.013605249573158451	0.4115249102170253	0.0297	0.0629
ENSG00000162618	0.42237224944483565	1.0	0.2426	0.5921
ENSG00000162620	0.44772716361650844	1.0	0.683	0.2299
ENSG00000162621	0.4970307840961047	1.0	0.6739	0.2744
ENSG00000162624	0.4122757918458575	1.0	0.3614	0.3832
ENSG00000162641	0.00508332952414281	0.3350624729354347	0.0082	0.0737
ENSG00000162645	0.5746219623544246	1.0	0.3264	0.7185
ENSG00000162654	0.030912341374033203	0.5049163217310539	0.0714	0.0685
ENSG00000162669	0.9999987193167866	1.0	0.9984	1.0
ENSG00000162670	0.9098731200874425	1.0	0.6672	0.9093
ENSG00000162676	0.004023034155970384	0.2974360957312813	0.0096	0.0483
ENSG00000162687	0.6731711224110354	1.0	0.5145	0.6027
